task_id,img,query,item,it_name,annotator
223471893,https://cs-d.ecimg.tw/items/DYAFM6A900IGMX6/000001_1741934314.jpg,iphone 16,DYAFM6-A900IGMX6,SANDMARC 12X 100mm HD手機微距鏡頭(含夾具 及 iPhone16 Pro 背蓋),"1,4,7,11"
223471894,https://cs-d.ecimg.tw/items/DIBKRFA900GR0IP/000001_1742179398.jpg,行李箱,DIBKRF-A900GR0IP,FJ 多功能USB充電20吋行李箱/登機箱K20-ABS+PC(USB孔方便充電),"1,4,7,11"
223471895,https://cs-d.ecimg.tw/items/DIBMWMA900HO8Q0/000001_1737437430.jpg,行李箱,DIBMWM-A900HO8Q0,Kinloch anderson 金安德森 26吋 Traveler 前開式頂規Hinomoto靜音輪可擴充行李箱,"1,4,7,11"
223471896,https://cs-d.ecimg.tw/items/DYAR5GA9007LTZN/000001_1646979925.jpg,行李箱,DYAR5G-A9007LTZN,Gramas 日本東京抗衝擊行李箱iPhone SE3 / SE2 / 8 / 7  經典手機殼 - Rib (玫瑰金),"1,4,7,11"
223471897,https://cs-d.ecimg.tw/items/DQAU78A900HD1PJ/000001_1712129834.jpg,行李箱,DQAU78-A900HD1PJ,ACME 艾可米 6入組 免抽氣手捲式真空壓縮袋 行李箱專用衣物收納袋 出差旅行/居家收納袋 整理袋,"1,4,7,11"
223471898,https://cs-d.ecimg.tw/items/DJBNAVD900HDE2C/000001_1712596216.jpg,行李箱,DJBNAV-D900HDE2C,Readmoo 讀墨 行李箱【百想帝后孔劉、徐玄振主演】（讀墨電子書）,"1,4,7,11"
223471899,https://cs-d.ecimg.tw/items/DEADRTA900HTKLN/000001_1726820188.jpg,行李箱,DEADRT-A900HTKLN,【馬丁】Corolla Cross CC 後車廂飾條 後車廂防刮條 後車箱改裝 尾門 行李箱 車貼裝飾,"1,4,7,11"
223471900,https://cs-d.ecimg.tw/items/DEDG0MA900HRYB1/000001_1735558436.jpg,行李箱,DEDG0M-A900HRYB1,雪黛屋 16吋以下行李箱雨衣防護防水PVC材質台灣製造,"1,4,7,11"
223471901,https://cs-d.ecimg.tw/items/DWAE8DA900J0MBP/000001_1751963647.jpg,行李箱,DWAE8D-A900J0MBP,Stokke 挪威 Stokke JetKids BedBox兒童飛機睡床行李箱(多色可選),"1,4,7,11"
223471902,https://cs-d.ecimg.tw/items/DYAZ39A900BM0GS/000001_1627462276.jpg,行李箱,DYAZ39-A900BM0GS,WiWU AirTag系列經典真皮行李箱吊牌-棕色,"1,4,7,11"
223471903,https://cs-d.ecimg.tw/items/DWAE4NA900J2FT0/000001_1753434676.jpg,行李箱,DWAE4N-A900J2FT0,BIGBAG 減壓護脊兒童書包 國中國小學生書包 （雙肩背包 大容量後背包 旅行包 行李箱掛包 開學季）,"1,4,7,11"
223471904,https://cs-d.ecimg.tw/items/DSBC1MA900J4U2Q/000001_1755150883.jpg,airpods pro 2,DSBC1M-A900J4U2Q,Apple 蘋果 AirPods Pro2 搭配 MagSafe 充電盒 (USB-C) 藍芽耳機,"1,4,7,11"
223471905,https://cs-d.ecimg.tw/items/DYAZ2WA900I8JKD/000001_1736233920.jpg,airpods pro 2,DYAZ2W-A900I8JKD,AULUMU A09 蘋果 AirPods Pro 2/1 太空艙防摔耳機殼,"1,4,7,11"
223471906,https://cs-d.ecimg.tw/items/DJBQ3HD900H07QU/000001_1702628733.jpg,airpods pro 2,DJBQ3H-D900H07QU,APPLE AIRPODS PRO2 USERGUIDE(Kobo/電子書),"1,4,7,11"
223471907,https://cs-d.ecimg.tw/items/DYAZ0ZA900EPOX1/000001_1648431524.jpg,airpods pro 2,DYAZ0Z-A900EPOX1,Timo AirPods /AirPods Pro /AirPods (第3代) /AirPods Pro 2 多功能磁吸式耳機防丟鏈 /耳機防丟繩 (可當口罩掛鏈 /眼鏡掛鏈)-玫瑰金,"1,4,7,11"
223471908,https://cs-d.ecimg.tw/items/DSBC1XA900FOTQN/000001_1670240692.jpg,airpods pro 2,DSBC1X-A900FOTQN,UNIQ 【南紡購物中心】  Lino AirPods Pro 2 素色簡約液態矽膠藍牙耳機保護套(附掛繩),"1,4,7,11"
223471909,https://cs-d.ecimg.tw/items/DYAZ2WA900IC52A/000001_1738891728.jpg,airpods pro 2,DYAZ2W-A900IC52A,Skinarma 日本潮牌  AirPods Pro 2 Mecha 未來元素耳機保護套,"1,4,7,11"
223471910,https://cs-d.ecimg.tw/items/DYAZ2WA900HFFU6/000001_1714127705.jpg,airpods pro 2,DYAZ2W-A900HFFU6,Elago AirPods Pro 2 B.B.Call造型保護殼(附掛鍊),"1,4,7,11"
223471911,https://cs-d.ecimg.tw/items/DYAZ2WA900I939Y/000001_1736540055.jpg,airpods pro 2,DYAZ2W-A900I939Y,National Geographic 國家地理 Rugged Bumper 自動開蓋 耳機保護殼 耳機殼 適用 AirPods Pro 2 - 灰色,"1,4,7,11"
223471912,https://cs-d.ecimg.tw/items/DYAREYA900B1OE9/000001_1614319290.jpg,airpods pro 2,DYAREY-A900B1OE9,Timo AirPods Pro /AirPods Pro 2 通用 矽膠替換耳塞套(大中小3組入),"1,4,7,11"
223471913,https://cs-d.ecimg.tw/items/DSBC44A900I7UAM/000001_1735531828.jpg,airpods pro 2,DSBC44-A900I7UAM,UNIC真皮Airpods Pro 2保護殼,"1,4,7,11"
223471914,https://cs-d.ecimg.tw/items/DPAI1PA900B1CUQ/000001_1755223564.jpg,洗衣機,DPAI1P-A900B1CUQ,Whirlpool 惠而浦 7公斤直立洗衣機 WM07PW,"1,4,7,11"
223471915,https://cs-d.ecimg.tw/items/DMBM0PA900BTJ1Z/000001_1732810421.jpg,洗衣機,DMBM0P-A900BTJ1Z,SAMPO 聲寶 【ES-B17D】17公斤變頻洗衣機,"1,4,7,11"
223471916,https://cs-d.ecimg.tw/items/DCBAGMA900HPYI2/000001_1723109778.jpg,洗衣機,DCBAGM-A900HPYI2,日本豆豆龍貓造型腳踏墊地毯65x48cm地墊787551大龍貓(底部防滑;洗衣機OK)適客廳玄關臥室,"1,4,7,11"
223471917,https://cs-d.ecimg.tw/items/DAAK6FA900H8NTD/000001_1708392480.jpg,洗衣機,DAAK6F-A900H8NTD,"KAO 花王 日本-氧系護色EX Power衣物漂白劑930ml/大綠瓶(彩色衣物白色衣物皆適用,洗衣機筒槽防霉,洗衣精去漬劑,衣物漂白水清潔劑)","1,4,7,11"
223471918,https://cs-d.ecimg.tw/items/DEDW0CA900HT4YO/000001_1726368256.jpg,洗衣機,DEDW0C-A900HT4YO,壹品印象_全銅一進三出角閥 水龍頭分流器 三控四通洗衣機水龍頭 三出水分水閥 上水三通進水器 槍灰色,"1,4,7,11"
223471919,https://cs-d.ecimg.tw/items/DMAU0FA9009TL28/000001_1550814524.jpg,洗衣機,DMAU0F-A9009TL28,Panasonic 國際牌 除濕機/冰箱/洗衣機 智慧家電無線控制器 CZ-T006,"1,4,7,11"
223471920,https://cs-d.ecimg.tw/items/DAAK09A900I7CXW/000001_1735023083.jpg,洗衣機,DAAK09-A900I7CXW,【梵特】洗衣機衣物清潔黏毛片(2入)x3包組,"1,4,7,11"
223471921,https://cs-d.ecimg.tw/items/DAAZ3SA900G4S6K/000001_1678777941.jpg,洗衣機,DAAZ3S-A900G4S6K,"ROSSMANN 德國domol-廚房衛浴排水管清潔劑管道疏通粉600g/罐(,廚房,浴室,馬桶,洗衣機,洗手台,流理台,浴缸)","1,4,7,11"
223471922,https://cs-d.ecimg.tw/items/DEDG2RA900ITFGG/000001_1747207137.jpg,洗衣機,DEDG2R-A900ITFGG,WIDE VIEW 直立式滾筒洗衣機防塵防曬罩(WMC8),"1,4,7,11"
223471923,https://cs-d.ecimg.tw/items/DECB0WA900H2PTC/000001_1704870946.jpg,洗衣機,DECB0W-A900H2PTC,"生活良品 -一縷炊煙瞬吸快乾七彩絨吸水地墊70x45cm(多色可選)1入/卷(可洗衣機清洗,廚房柔軟腳踏墊,浴室門口防滑墊,居家裝飾軟地墊)","1,4,7,11"
223471924,https://cs-d.ecimg.tw/items/DBCRPBA900I0LNP/000001_1729764952.jpg,麥當勞,DBCRPB-A900I0LNP,McDonald's 麥當勞 薯條(中)即享券,"1,4,7,11"
223471925,https://cs-d.ecimg.tw/items/DBCRPBA900ICQ3K/000001_1739345089.jpg,麥當勞,DBCRPB-A900ICQ3K,McDonald's 麥當勞 勁辣鷄腿堡 好禮即享券,"1,4,7,11"
223471926,https://cs-d.ecimg.tw/items/DJBQ3MD900E640A/000001_1645580966.jpg,麥當勞,DJBQ3M-D900E640A,Von der Imbissbude zur Globalindustrie. Die Geschichte des Fast Food am Beispiel von McDonald's(Kobo/電子書),"1,4,7,11"
223471927,https://cs-d.ecimg.tw/items/DJBQ34D900CHUZK/000001_1641602256.jpg,麥當勞,DJBQ34-D900CHUZK,Christmas Eve at the Epsom Circle McDonald's and Other Poems(Kobo/電子書),"1,4,7,11"
223471928,https://cs-d.ecimg.tw/items/DQBWAVA900HQP6E/000001_1724148035.jpg,麥當勞,DQBWAV-A900HQP6E,上芳香業 往生紙紮 菜園 湯屋 溫泉 花園 飛機 露營 泳池 超商 船 酒店 鴿舍 居酒屋 紙紮 彩卷 麥當勞,"1,4,7,11"
223471929,https://cs-d.ecimg.tw/items/DJBQ3GD900HIHKO/000001_1716821125.jpg,麥當勞,DJBQ3G-D900HIHKO,Christian Lessons in McDonald's Filet O Fish Longevity Mental Floss Ver 2(Kobo/電子書),"1,4,7,11"
223471930,https://cs-d.ecimg.tw/items/DBBBF1A900HMJI5/000001_1741598807.jpg,麥當勞,DBBBF1-A900HMJI5,BioCalth 百傲固力錠 左旋四碳醣酸鈣吸收率95%原味成人鈣 90錠/瓶X5(加碼送麥當勞禮卷500元),"1,4,7,11"
223471931,https://cs-d.ecimg.tw/items/DJBQ3GD900CMQJ5/000001_1641749473.jpg,麥當勞,DJBQ3G-D900CMQJ5,There Are No Mcdonald's in Heaven(Kobo/電子書),"1,4,7,11"
223471932,https://cs-d.ecimg.tw/items/DJBQ06D900IBT14/000001_1738685538.jpg,麥當勞,DJBQ06-D900IBT14,猶太商法：日本麥當勞創始人──藤田田的不朽商戰名著，「做生意要賺大錢，你就得瞄準有錢人、女人及嘴巴！」(Kobo/電子書),"1,4,7,11"
223471933,https://cs-d.ecimg.tw/items/DJBQ39D900DCYOE/000001_1642121753.jpg,麥當勞,DJBQ39-D900DCYOE,John McDonald's Maine Trivia(Kobo/電子書),"1,4,7,11"
223471934,https://cs-d.ecimg.tw/items/DYAJMC1900HSPRI/000001_1750383722.jpg,iphone 16 pro,DYAJMC-1900HSPRI,Apple 蘋果 iPhone 16 Pro Max (256G),"1,4,7,11"
223471935,https://cs-d.ecimg.tw/items/DYAJMC1900I4G81/000001_1739759009.png,iphone 16 pro,DYAJMC-1900I4G81,Apple 蘋果 iPhone 16 Pro Max (256G),"1,4,7,11"
223471936,https://cs-d.ecimg.tw/items/DSBC29A900HSOPK/000001_1725953853.jpg,iphone 16 pro,DSBC29-A900HSOPK,for iPhone16 Pro 6.3 豔星複合無痕磁吸版透明軍規保護殼,"1,4,7,11"
223471937,https://cs-d.ecimg.tw/items/DYAFM6A900IGMX6/000001_1741934314.jpg,iphone 16 pro,DYAFM6-A900IGMX6,SANDMARC 12X 100mm HD手機微距鏡頭(含夾具 及 iPhone16 Pro 背蓋),"1,4,7,11"
223471938,https://cs-d.ecimg.tw/items/DJBQD8D900HUGK1/000001_1727008214.jpg,iphone 16 pro,DJBQD8-D900HUGK1,Decode the iPhone 16 and iPhone 16 Pro: A Simple Guide to the 2024 iPhone and iOS 18(Kobo/電子書),"1,4,7,11"
223471939,https://cs-d.ecimg.tw/items/DCADN0A900HB7BD/000001_1711432442.jpg,iphone 16 pro,DCADN0-A900HB7BD,OMG iPhone16 pro max充電器 30W氮化鎵充電器 GaN快充頭 TypeC+USB雙孔充電器 iphone快充頭 手機快速充電器,"1,4,7,11"
223471940,https://cs-d.ecimg.tw/items/DJBQ8LD900IIZ6Z/000001_1743911718.jpg,iphone 16 pro,DJBQ8L-D900IIZ6Z,Maîtriser L'appareil Photo De L'iphone 16 Pro Et Pro Max(Kobo/電子書),"1,4,7,11"
223471941,https://cs-d.ecimg.tw/items/DYARBFA900IBZYV/000001_1738980877.jpg,iphone 16 pro,DYARBF-A900IBZYV,TORRAS 圖拉斯 Ostand R Fitness  MagSafe iPhone 16 Pro 系列 相機按鍵旋轉支架防摔手機殼,"1,4,7,11"
223471942,https://cs-d.ecimg.tw/items/DYAZ98A900HT072/000001_1726222626.jpg,iphone 16 pro,DYAZ98-A900HT072,imos iPhone 16 Pro / 16 Pro Max  PVDSS不鏽鋼2.0 藍寶石鏡頭保護鏡 玻璃保護貼 3顆組,"1,4,7,11"
223471943,https://cs-d.ecimg.tw/items/DYARFCA900I8JEN/000001_1736232570.jpg,iphone 16 pro,DYARFC-A900I8JEN,AULUMU iPhone 16 Pro / Pro Max 變色散熱手機殼 (MagSafe兼容) - PU皮革,"1,4,7,11"
223471944,https://cs-d.ecimg.tw/items/DSAO16A900HOXJI/000001_1750212384.jpg,延長線,DSAO16-A900HOXJI,PowerSync 群加 7開6插防雷擊延長線/台灣製造/1.8M(TS76T918),"1,4,7,11"
223471945,https://cs-d.ecimg.tw/items/DSAO9RA900GY65X/000001_1731036237.jpg,延長線,DSAO9R-A900GY65X,PHILIPS 飛利浦 4開6插+雙USB延長線 1.8M 兩色可選-CHP4760,"1,4,7,11"
223471946,https://cs-d.ecimg.tw/items/DCACEXA90069JR2/000001_1639482997.jpg,延長線,DCACEX-A90069JR2,Benevo 2米 XLR(Cannon接頭)公對母音訊連接線/麥克風延長線 (BAU0200XMF),"1,4,7,11"
223471947,https://cs-d.ecimg.tw/items/DCAGRJA900I5CRJ/000001_1733721497.jpg,延長線,DCAGRJ-A900I5CRJ,Raymii 瑞米 LSA-93 夾桌式雙層可伸縮桌下理線收納槽 延長線收納架,"1,4,7,11"
223471948,https://cs-d.ecimg.tw/items/DCAS9BA900IUO6J/000001_1748336641.jpg,延長線,DCAS9B-A900IUO6J,Sily USB音視頻採集卡 免驅AV信號捕捉數據採集器 1080PWIN系統MAC轉接線 RCA採集線 延長線 禮物,"1,4,7,11"
223471949,https://cs-d.ecimg.tw/items/DCACR0A900AV445/000001_1599733736.jpg,延長線,DCACR0-A900AV445,REO Wi-Fi無線網路2.4/5.8GHz低耗損天線延長線(1米),"1,4,7,11"
223471950,https://cs-d.ecimg.tw/items/DCACGZA900ABZPQ/000001_1572313502.jpg,延長線,DCACGZ-A900ABZPQ,Z-TEK 力特 RS232串口(交叉)延長線 DB9/母座 TO DB9/母座 1.5M (ZC291),"1,4,7,11"
223471951,https://cs-d.ecimg.tw/items/DMBM3YA900H9UED/000001_1733413886.jpg,延長線,DMBM3Y-A900H9UED,Palladium 帕拉丁 【Palladium】氮化鎵GaN 3開4插3P 65W 智能USB超級閃充延長線 炫酷黑,"1,4,7,11"
223471952,https://cs-d.ecimg.tw/items/DSAO02A9009VWHO/000001_1567144888.jpg,延長線,DSAO02-A9009VWHO,iPlus+ 保護傘 PU-2122 1切2座2P延長線-1.8米,"1,4,7,11"
223471953,https://cs-d.ecimg.tw/items/DCAC5KA900AFVRA/000001_1577679769.jpg,延長線,DCAC5K-A900AFVRA,PHILIPS 飛利浦 SWA2531W/10 5.0M 3.5mm音源延長線,"1,4,7,11"
223471954,https://cs-d.ecimg.tw/items/DGCA3QA900GT3YI/000001_1750409175.jpg,隨身碟,DGCA3Q-A900GT3YI,SanDisk 晟碟 Ultra Luxe Type-C 雙用隨身碟256GB(公司貨),"1,4,7,11"
223471955,https://cs-d.ecimg.tw/items/DGCDDMA900HSNUN/000001_1748220407.jpg,隨身碟,DGCDDM-A900HSNUN,Transcend 創見 ESD310C USB3.2/Type C 128GB 雙介面固態行動隨身碟/高速隨身碟-太空黑(TS128GESD310C),"1,4,7,11"
223471956,https://cs-d.ecimg.tw/items/DJBQ12D900IHF77/000001_1742529020.jpg,隨身碟,DJBQ12-D900IHF77,不做替代品！九項「價值思維」升級你的未來：優化流程×整合資源×終身學習，養成「隨身碟」思維，到哪裡都「隨插即用」！(Kobo/電子書),"1,4,7,11"
223471957,https://cs-d.ecimg.tw/items/QAAM3TA90086DA7/000001_1496904941.jpg,隨身碟,QAAM3T-A90086DA7,aibo GT86 車用藍牙音樂FM播放發射器(免持通話/隨身碟/TF卡),"1,4,7,11"
223471958,https://cs-d.ecimg.tw/items/DXAU78A900EVEM6/000001_1649733069.jpg,隨身碟,DXAU78-A900EVEM6,LED LENSER 萊德雷神 小體積高亮度新升級隨身碟 德國 Ledlenser K4R 4GB 充電式鑰匙圈型手電筒-灰色,"1,4,7,11"
223471959,https://cs-d.ecimg.tw/items/DMAH17A9007XXOM/000001_1660314829.jpg,隨身碟,DMAH17-A9007XXOM,PUSH! 居家用品專利設計隨身碟型鼻毛修剪器/電動鼻毛刀I68(黑色),"1,4,7,11"
223471960,https://cs-d.ecimg.tw/items/DYCB0DA900GXS76/000001_1700644403.jpg,隨身碟,DYCB0D-A900GXS76,o-one 圓一 【 MAG 隨身碟磁吸指環支架】,"1,4,7,11"
223471961,https://cs-d.ecimg.tw/items/DSAUFPA900GFNK5/000001_1687376565.jpg,隨身碟,DSAUFP-A900GFNK5,AUMLMASIG 全通碩 下單免運送達【網路型-5合1擴充多功能集線器】Internet-5 in 1- C Connector Type-C/PD充電/HDMI 4K輸出/千兆網卡1000mbps/PD充電/手機OTG/移動硬碟/隨身碟/鍵盤/滑鼠等USB設備,"1,4,7,11"
223471962,https://cs-d.ecimg.tw/items/DMAE27A900BONT9/000001_1629425535.jpg,隨身碟,DMAE27-A900BONT9,【專業錄音】16GB容量 長30時錄音  徽章別針式 學校霸凌事件 密錄機 密錄器USB隨身碟徽章別針錄音筆,"1,4,7,11"
223471963,https://cs-d.ecimg.tw/items/DQAU50A900H2H9N/000001_1704689477.jpg,隨身碟,DQAU50-A900H2H9N,"生活良品 (2袋任選超值組)-電器線材3C數位產品整理收納包(4色可選)1入/袋(完美分類充電器,耳機,隨身碟,USB線材等電子產品,出差旅行彈性隔層分類收納袋)","1,4,7,11"
223471964,https://cs-d.ecimg.tw/items/DEDK08A900IE8ZU/000001_1740629064.jpg,無印良品,DEDK08-A900IE8ZU,MUJI 無印良品 女天竺圓領短袖T恤,"1,4,7,11"
223471965,https://cs-d.ecimg.tw/items/DEDK08A900IE91Y/000001_1740629842.jpg,無印良品,DEDK08-A900IE91Y,MUJI 無印良品 女天竺法式袖T恤,"1,4,7,11"
223471966,https://cs-d.ecimg.tw/items/DEDK5WA900B4P8R/000001_1612145182.jpg,無印良品,DEDK5W-A900B4P8R,MUJI 無印良品 鋼製書架隔板.中/12x12x17.5cm,"1,4,7,11"
223471967,https://cs-d.ecimg.tw/items/DEDK2WA900GKIV0/000001_1691737367.jpg,無印良品,DEDK2W-A900GKIV0,MUJI 無印良品 再生聚乙烯垃圾袋/M53x63cm30入,"1,4,7,11"
223471968,https://cs-d.ecimg.tw/items/DEDK3UA900BIW3T/000001_1625674667.jpg,無印良品,DEDK3U-A900BIW3T,MUJI 無印良品 不鏽鋼餐具/餐桌刀/21cm,"1,4,7,11"
223471969,https://cs-d.ecimg.tw/items/DEDK6AA900HIPU2/000001_1716977606.jpg,無印良品,DEDK6A-A900HIPU2,MUJI 無印良品 LD兩用長凳座面套/水洗棉帆布/原色(大型家具配送),"1,4,7,11"
223471970,https://cs-d.ecimg.tw/items/DEDK37A900IKEOH/000001_1744775414.jpg,無印良品,DEDK37-A900IKEOH,MUJI 無印良品 四輪硬殼止滑拉桿箱105L_柔白(約29吋),"1,4,7,11"
223471971,https://cs-d.ecimg.tw/items/DEDK68A900B628V/000001_1614676751.jpg,無印良品,DEDK68-A900B628V,MUJI 無印良品 梅粉味番薯脆片,"1,4,7,11"
223471972,https://cs-d.ecimg.tw/items/DEDK4BA900HFQCM/000001_1715247316.jpg,無印良品,DEDK4B-A900HFQCM,MUJI 無印良品 涼感沐浴乳/400ml,"1,4,7,11"
223471973,https://cs-d.ecimg.tw/items/DEDK37A900B4OKK/000001_1612142976.jpg,無印良品,DEDK37-A900B4OKK,MUJI 無印良品 耳栓附盒/1組,"1,4,7,11"
223471974,https://cs-d.ecimg.tw/items/DMAXAZA900IADFH/000001_1744796049.jpg,吸塵器,DMAXAZ-A900IADFH,Xiaomi 小米 米家無線吸塵器 mini,"1,4,7,11"
223471975,https://cs-d.ecimg.tw/items/DYAN7JA900GSZ4D/000001_1754292324.jpg,吸塵器,DYAN7J-A900GSZ4D,Xiaomi 小米 米家無線吸塵器 mini(原廠公司貨/一年保固/手持吸塵器),"1,4,7,11"
223471976,https://cs-d.ecimg.tw/items/DMBM3XA900FXCCA/000001_1751619483.jpg,吸塵器,DMBM3X-A900FXCCA,RENZA 適用 Dyson 戴森 吸塵器 V15 SV22 HEPA濾網 3入組 替換 V15 濾網,"1,4,7,11"
223471977,https://cs-d.ecimg.tw/items/DMBH01A900HK2DO/000001_1741146901.jpg,吸塵器,DMBH01-A900HK2DO,Electrolux 伊萊克斯 Ease C4氣旋式集塵盒吸塵器(EC41-4DB) 1.8L集塵盒/五重過濾/HEAP濾網,"1,4,7,11"
223471978,https://cs-d.ecimg.tw/items/DQBHK6A900HSIDF/000001_1725703676.jpg,吸塵器,DQBHK6-A900HSIDF,JIEYU 卡通電動文具套裝 學生學習套組 開學禮物 (削鉛筆機/吸塵器/電動橡皮/訂書機),"1,4,7,11"
223471979,https://cs-d.ecimg.tw/items/DMAX0TA900AL9NQ/000001_1586093341.jpg,吸塵器,DMAX0T-A900AL9NQ,IRIS 【適用於日本 雙氣旋智能除塵蟎吸塵器IC-FAC2(2代)/IC-FAC3(3代)/KIC-FAC2/KIC-FAC3適用】,"1,4,7,11"
223471980,https://cs-d.ecimg.tw/items/DXAA5RA900GZEKR/000001_1702008994.jpg,吸塵器,DXAA5R-A900GZEKR,kokomo 車用萬應俠-五合一車載充氣吸塵器/打氣機(KO-DV2334),"1,4,7,11"
223471981,https://cs-d.ecimg.tw/items/DMAX7EA900IDICD/000001_1740037588.jpg,吸塵器,DMAX7E-A900IDICD,LG 樂金 【484】 A9全系列 2500mAh 副廠吸塵器鋰電池 DC9025,"1,4,7,11"
223471982,https://cs-d.ecimg.tw/items/DMBM2ZA900FGBMQ/000001_1744006941.jpg,吸塵器,DMBM2Z-A900FGBMQ,適用Dyson吸塵器 V8電池 3000mAh電池 SV10 SV25 HH15 SV10K BSMI合格,"1,4,7,11"
223471983,https://cs-d.ecimg.tw/items/DQBE40A900I3G73/000001_1732203568.jpg,吸塵器,DQBE40-A900I3G73,Makita 牧田 VC012GZ 40V無刷背負式吸塵器(單主機 無電池 無充電器),"1,4,7,11"
