id,IT_NAME,image_url,query,annotators
223501898,JDTECH 冷感運動毛巾 30*100cm 吸汗速乾冰涼巾 跑步健身涼感巾 夏季消暑降溫 頭巾/擦汗巾/圍脖式領巾,https://cs-d.ecimg.tw/items/DEBYJ1A900G9PFZ/000001_1682567338.jpg,涼感巾,"['2', '5', '8', '12']"
223501900,Hot Zone HotZone x 3M CT15909車用反光背心/螢黃《送涼感巾》通過CNS15909認證,https://cs-d.ecimg.tw/items/DEADCHA900G9JTA/000001_1685675494.jpg,涼感巾,"['2', '5', '8', '12']"
223501901,生活無限 北歐式折疊健走杖二代/折疊式外鎖 (藍綠色2入) N02-115-2《送鞋型腳墊+涼感巾/附提袋》,https://cs-d.ecimg.tw/items/DXAU84A900HO0EJ/000001_1721183228.jpg,涼感巾,"['2', '5', '8', '12']"
223501902,La Millou 竹纖涼感巾_嬰兒包巾/哺乳巾/推車蓋巾(多款可選),https://cs-d.ecimg.tw/items/DEAILDA900EXNOY/000001_1715313969.jpg,涼感巾,"['2', '5', '8', '12']"
223501903,日本成願 富士山涼感巾(日本製),https://cs-d.ecimg.tw/items/DICFVHA900F24Y0/000001_1721294878.jpg,涼感巾,"['2', '5', '8', '12']"
223501904,二合一折疊電蚊拍 x 兩入組【贈涼感巾x1】,https://cs-d.ecimg.tw/items/DSBE04A900HNNRT/000001_1720776719.jpg,涼感巾,"['2', '5', '8', '12']"
223501905,一品川流 方格牌 超酷涼感巾-26x90cm-1條入,https://cs-d.ecimg.tw/items/DECB0BA900HGBL2/000001_1715161619.jpg,涼感巾,"['2', '5', '8', '12']"
223501906,"日本SOLOKI-可重複使用體感降溫約8度保冷掛脖冰涼頸圈-藍色1入/盒(大人小孩通用,免手持無結露涼感環,預防中暑散熱冰敷袋,室內戶外通勤涼感巾)",https://cs-d.ecimg.tw/items/DEBQ9KA900GLEAL/000001_1692581552.jpg,涼感巾,"['2', '5', '8', '12']"
223501907,Aaron1982 贈送涼感巾  銷萬件 MIT機能半領拉鍊微刷毛運動保暖衣(黑),https://cs-d.ecimg.tw/items/DICFAYA9005PDNB/000001_1636606682.jpg,涼感巾,"['2', '5', '8', '12']"
223501908,TP-Link [搭128G記憶卡] Tapo C210 300萬畫素/旋轉式 WiFi 無線網路攝影機/監視器IPCAM,https://cs-d.ecimg.tw/items/DRAN1W1900IGUP3/000001_1754187872.jpg,c210,"['2', '5', '8', '12']"
223501909,TP-Link 【南紡購物中心】 限時促銷  Tapo C210 300萬畫素 旋轉式無線智慧網路攝影機 含金士頓128G記憶卡,https://cs-d.ecimg.tw/items/DSBC0ZA900FRCOX/000001_1671416759.jpg,c210,"['2', '5', '8', '12']"
223501910,糊塗鞋匠 優質鞋材 C210 軟木七分墊 3雙,https://cs-d.ecimg.tw/items/DICN3QA900BTZ34/000001_1633075386.jpg,c210,"['2', '5', '8', '12']"
223501911,鶴屋 【南紡購物中心】 A4電腦標籤 210x297mm 直角 1格 1000張入 / 箱 C210297(LX),https://cs-d.ecimg.tw/items/DEDG1NA900GQ88L/000001_1698307973.jpg,c210,"['2', '5', '8', '12']"
223501912,eitech 【德國】益智鋼鐵玩具-裝甲坦克(綠色) C210,https://cs-d.ecimg.tw/items/DEAS00A900FVSMA/000001_1672209154.jpg,c210,"['2', '5', '8', '12']"
223501913,SANLUX 台灣三洋 210L 變頻雙門冰箱 (SR-C210BV1A),https://cs-d.ecimg.tw/items/DPAC0XA900FPN28/000001_1755243398.jpg,c210,"['2', '5', '8', '12']"
223501914,KZL 康之樂 手腳兩用健身車 智能計數 靜音耐磨 上下肢康復訓練器 健身腳踏車 踏步機 健走機 C210折疊款,https://cs-d.ecimg.tw/items/DEBYHIA900IYMAZ/000001_1750505550.jpg,c210,"['2', '5', '8', '12']"
223501915,C210 雙腳釘(42X19X5mm)2X12mm,https://cs-d.ecimg.tw/items/DEACE1A9009YGOE/000001_1555651286.jpg,c210,"['2', '5', '8', '12']"
223501916,KODAK 柯達 C210R 即可印 口袋 相印機 相片印表機 列印機 東城代理商公司貨,https://cs-d.ecimg.tw/items/DGADGRA900GRNGZ/000001_1740125828.jpg,c210,"['2', '5', '8', '12']"
223501917,TP-Link 【TP-LINK】Tapo C210 旋轉式家庭安全防護 Wi-Fi 攝影機 白色 不能視訊會議用,https://cs-d.ecimg.tw/items/DCBE1XA900BC8AG/000001_1755130892.jpg,c210,"['2', '5', '8', '12']"
223501918,OPPO Reno13 5G (12G/256G),https://cs-d.ecimg.tw/items/DYAV4MA900I7L96/000001_1755243024.jpg,oppo reno,"['2', '5', '8', '12']"
223501919,OPPO Reno11 F(8G/256G) 6.7吋5G智慧型手機【福利品】,https://cs-d.ecimg.tw/items/DYAX0BA900IAEX6/000001_1745197849.jpg,oppo reno,"['2', '5', '8', '12']"
223501920,AISURE 愛秀王 for Google Pixel 4 XL/OPPO Reno2 Z/Nokia 7.2 透氣手機觸控運動臂套臂袋,https://cs-d.ecimg.tw/items/QAAMOYA900ADXBH/000001_1599631516.jpg,oppo reno,"['2', '5', '8', '12']"
223501921,AGC日本玻璃 保護貼 買一送一【日本AGC玻璃】 OPPO RENO 12/12 PRO 全覆蓋曲面黑邊 保護貼 保護膜 玻璃鋼化膜,https://cs-d.ecimg.tw/items/DYAH21A900HMLQP/000001_1720060499.jpg,oppo reno,"['2', '5', '8', '12']"
223501922,PU IN7 瘋馬紋 OPPO Reno 5Z (6.43吋) 錢包式 磁扣側掀皮套 吊飾孔 手機皮套保護殼-黑色,https://cs-d.ecimg.tw/items/DYAGIUA900BBTYV/000001_1620291697.jpg,oppo reno,"['2', '5', '8', '12']"
223501923,D&A for OPPO Reno (6.4吋)9H藍光保貼,https://cs-d.ecimg.tw/items/QAAM7NA900A38MJ/000001_1560851415.jpg,oppo reno,"['2', '5', '8', '12']"
223501924,ASUS 華碩 Aisure for   ZenFone 6 ZS630KL/OPPO Reno 簡單生活運動跑步水壺腰包,https://cs-d.ecimg.tw/items/QAAMMWA900A7HV5/000001_1566192230.jpg,oppo reno,"['2', '5', '8', '12']"
223501925,XUNDD 訊迪 甲殼系列 for OPPO Reno 13F 四角加強氣囊防摔保護殼,https://cs-d.ecimg.tw/items/DSBC29A900IDN5X/000001_1740123530.jpg,oppo reno,"['2', '5', '8', '12']"
223501926,DEVILCASE 惡魔殼 OPPO Reno10 Pro 5G 惡魔防摔殼 Lite Plus 抗菌版,https://cs-d.ecimg.tw/items/DYAG0QA900GR3U8/000001_1697791112.jpg,oppo reno,"['2', '5', '8', '12']"
223501927,o-one 圓一 【-小螢膜】OPPO RENO8 T 5G全膠鏡頭保護貼 犀牛皮 保護膜 自動修復(亮面兩入組),https://cs-d.ecimg.tw/items/DYAHA8A900G3SCB/000001_1677816020.jpg,oppo reno,"['2', '5', '8', '12']"
223501928,居家家 【居家家】光翼雙頭夾式書桌檯燈 工作燈 護眼燈 照明燈 夾子燈 學習桌燈 鋼琴燈,https://cs-d.ecimg.tw/items/DMALG6A900GR8SC/000001_1697961246.jpg,護眼燈,"['2', '5', '8', '12']"
223501929,Ogula 小倉 三色變光【北歐護眼小台燈】學習led燈 書桌台燈 護眼燈 插電式少女床頭燈,https://cs-d.ecimg.tw/items/DEBD23A900C3MOU/000001_1666583988.jpg,護眼燈,"['2', '5', '8', '12']"
223501930,Raymii 瑞米 LSA-101 觸控式筆電螢幕護眼燈,https://cs-d.ecimg.tw/items/DCAGRJA900I79EF/000001_1734944852.jpg,護眼燈,"['2', '5', '8', '12']"
223501931,聚美照明 72W 6-8坪吸頂燈8000流明 全光譜護眼LED 防藍光護眼燈 三色無極調光附遙控 簡約圓形燈,https://cs-d.ecimg.tw/items/DQBP3WA900HXFQB/000001_1728352858.jpg,護眼燈,"['2', '5', '8', '12']"
223501932,DIVIN 【南紡購物中心】 Dr-Lite愛德華醫生潤護眼燈 呵護之光 兒童學習燈,https://cs-d.ecimg.tw/items/DMBM01A900B8KUT/000001_1670329276.jpg,護眼燈,"['2', '5', '8', '12']"
223501933,WE CHAMP 萬年曆顯示護眼檯燈(LED充電護眼燈 萬年曆時鐘檯燈),https://cs-d.ecimg.tw/items/DQBP4FA900HZXEC/000001_1729503367.jpg,護眼燈,"['2', '5', '8', '12']"
223501934,文創集 心語3.5尺四抽書桌組合(附可調護眼燈),https://cs-d.ecimg.tw/items/DQCB8RA900IEU7K/000001_1741070092.jpg,護眼燈,"['2', '5', '8', '12']"
223501935,GREENON 橘能 【南紡購物中心】 AI智慧聲控感應燈 LED智能語音護眼燈 三段式三光源變換 免安裝 懶人法寶,https://cs-d.ecimg.tw/items/DEDG0FA900HLKUB/000001_1719226749.jpg,護眼燈,"['2', '5', '8', '12']"
223501936,【YIZ TIME】極簡led臥室智能遙控RGB無極調光調色23W落地燈立燈/鋼琴燈/閱讀燈/照明燈/護眼燈,https://cs-d.ecimg.tw/items/DQBP3EA900HFOZZ/000001_1714462656.jpg,護眼燈,"['2', '5', '8', '12']"
223501937,AHOYE 5W三段調光五色溫螢幕掛燈 42CM (夜燈 護眼燈 夾燈),https://cs-d.ecimg.tw/items/DAAC0AA900HHEID/000001_1715852912.jpg,護眼燈,"['2', '5', '8', '12']"
223501938,CAROL 佳樂電子 頭戴式麥克風 MUD-806N 三入組,https://cs-d.ecimg.tw/items/DMAAGR1900HW6K2/000001_1738919252.jpg,頭戴式麥克風,"['2', '5', '8', '12']"
223501939,Veloz 教學用小蜜蜂頭戴式麥克風(1入) (Velo-44),https://cs-d.ecimg.tw/items/DCAYS6A900BJSD9/000001_1625812071.jpg,頭戴式麥克風,"['2', '5', '8', '12']"
223501940,TEV 台灣電音 100頻道肩帶式藍牙/USB/SD播放擴音器 TA220DLH｜頭戴式麥克風,https://cs-d.ecimg.tw/items/DMAAH5A900C32HO/000001_1728445153.jpg,頭戴式麥克風,"['2', '5', '8', '12']"
223501941,JYC Music嚴選Q-F035B頭戴式麥克風-迷你款黑色/全指向性/3.5mm耳機接口適用,https://cs-d.ecimg.tw/items/DMAFHVA900BDHTI/000001_1621492212.jpg,頭戴式麥克風,"['2', '5', '8', '12']"
223501942,MIPRO 嘉強 ACT-323 UHF 1U雙頻道無線麥克風(ACT-32H/配雙頭戴式麥克風),https://cs-d.ecimg.tw/items/DMAF65A900GS1N5/000001_1717573162.jpg,頭戴式麥克風,"['2', '5', '8', '12']"
223501943,CHIAYO 嘉友 可攜式多功能無線混音UHF雙頻擴音機 含藍芽/USB/送拉桿包/手握+頭戴式麥克風(鋰電池版),https://cs-d.ecimg.tw/items/DMAAH5A900FANT9/000001_1657796109.jpg,頭戴式麥克風,"['2', '5', '8', '12']"
223501944,Osaki 電容式頭戴式麥克風 OS-MD637鋁合金背夾久戴舒適,https://cs-d.ecimg.tw/items/DMAE6SA900B1GL8/000001_1607600409.jpg,頭戴式麥克風,"['2', '5', '8', '12']"
223501945,Band 360度旋轉頭戴式麥克風 教師專用擴音器耳麥 專業降噪話筒麥克風 3.5mm通用,https://cs-d.ecimg.tw/items/DCAYY8A900IIPNS/000001_1743571407.jpg,頭戴式麥克風,"['2', '5', '8', '12']"
223501946,JYC Music嚴選Q-F06頭戴式麥克風-高音質金屬音頭/膚色款心形指向/MIPRO適用,https://cs-d.ecimg.tw/items/DMAFHVA900B39QK/000001_1610361686.jpg,頭戴式麥克風,"['2', '5', '8', '12']"
223501947,JYC Music嚴選Q-B12頭戴式麥克風-迷你款黑色/全指向性/MIPRO適用,https://cs-d.ecimg.tw/items/DMAFHVA900B39Q9/000001_1652087563.jpg,頭戴式麥克風,"['2', '5', '8', '12']"
223501948,"RAZER 雷蛇 Kishi Ultra - USB C 遊戲手持裝置(for Android, iPhone, and iPad Mini)",https://cs-d.ecimg.tw/items/DCBF0CA900HQGGS/000001_1748829792.jpg,and,"['2', '5', '8', '12']"
223501949,LEGO 樂高 Spidey 10789 Spider-Man's Car and Doc Ock(蜘蛛人玩具車 漫威超級英雄),https://cs-d.ecimg.tw/items/DEDJ0OA900G0ASE/000001_1752741625.jpg,and,"['2', '5', '8', '12']"
223501950,Women and the City in French Literature and Culture(Kobo/電子書),https://cs-d.ecimg.tw/items/DJBQ34D900G59II/000001_1679038234.jpg,and,"['2', '5', '8', '12']"
223501951,HyRead The Ups and Downs in Life(電子書),https://cs-d.ecimg.tw/items/DJBR0KD900ISCOI/000001_1746785324.jpg,and,"['2', '5', '8', '12']"
223501952,【STAY AND】無鋼圈內衣 無痕內衣 運動內衣 美背/集中/純棉/舒適,https://cs-d.ecimg.tw/items/DIAXULA900GTNPX/000001_1699587775.jpg,and,"['2', '5', '8', '12']"
223501953,Bone and Soft Tissue Augmentation in Implantology(Kobo/電子書),https://cs-d.ecimg.tw/items/DJBQ3AD900DA2QM/000001_1642086915.jpg,and,"['2', '5', '8', '12']"
223501954,OLFA 灰褐/黑A2切割墊CM-A2桌墊159B裁切墊450*620*2mm美工藝墊工作墊Cutter Mat with Grid and Angle Lines,https://cs-d.ecimg.tw/items/DCBAGMA900FXJVG/000001_1700129877.jpg,and,"['2', '5', '8', '12']"
223501955,"Japanese Minimalism - The Art of Decluttering, Feng Shui, and Creating a Mindful Home(Kobo/電子書)",https://cs-d.ecimg.tw/items/DJBQ3GD900ICOAA/000001_1739318429.jpg,and,"['2', '5', '8', '12']"
223501956,Genghis Khan and the Making of the Modern World(Kobo/電子書),https://cs-d.ecimg.tw/items/DJBQ35D900C6QAM/000001_1640603424.jpg,and,"['2', '5', '8', '12']"
223501957,Petromax Griddle and Fire Bowl 鍛鐵燒烤盤48cm fs48,https://cs-d.ecimg.tw/items/QCAP7PA900AT3G9/000001_1596865220.jpg,and,"['2', '5', '8', '12']"
223501958,TOTO 日本原裝 平行輸入 溫控淋浴龍頭 控溫蓮蓬頭 控溫龍頭(TBV03401J),https://cs-d.ecimg.tw/items/DECBCVA900EDCHC/000001_1667896377.jpg,沐浴龍頭,"['2', '5', '8', '12']"
223501959,304不鏽鋼浴室水龍頭 三聯淋浴龍頭 浴缸龍頭入墻  冷熱混水閥,https://cs-d.ecimg.tw/items/DEDW0NA900HFAB0/000001_1714031147.jpg,沐浴龍頭,"['2', '5', '8', '12']"
223501960,Tree House 小樹屋 -太空鋁浴室淋浴龍頭掛式收納籃,https://cs-d.ecimg.tw/items/DQAUG9A900GNYVV/000001_1694763761.jpg,沐浴龍頭,"['2', '5', '8', '12']"
223501961,大巨光 SPA沐浴龍頭 D-9198,https://cs-d.ecimg.tw/items/DEDW0GA900H0SCW/000001_1703062597.jpg,沐浴龍頭,"['2', '5', '8', '12']"
223501962,"Paloma 日製16L熱⽔器2台＋1組Sanei定溫淋浴龍頭，原價$86,800，限時下殺$50,000，⼀起買同時換 超划算-9/15止",https://cs-d.ecimg.tw/items/DPAL07A900J0HBC/000001_1751881897.jpg,沐浴龍頭,"['2', '5', '8', '12']"
223501963,BACHOR 淋浴龍頭組-無安裝 P22623H,https://cs-d.ecimg.tw/items/CCAB4ZA82502993/000001_1496124253.jpg,沐浴龍頭,"['2', '5', '8', '12']"
223501964,HCG 和成 【台灣】BF3777恆溫沐浴龍頭,https://cs-d.ecimg.tw/items/CCAB0FA48054438/000001_1531123773.jpg,沐浴龍頭,"['2', '5', '8', '12']"
223501965,Water More 水摩爾衛浴配件 特製雙外牙/內牙轉接頭(2入)-廚房水龍頭沐浴龍頭噴水頭節水閥小花灑設備安裝時內外牙轉接用 先確認尺寸再下單,https://cs-d.ecimg.tw/items/DECB7VA900BZMWN/000001_1637139133.jpg,沐浴龍頭,"['2', '5', '8', '12']"
223501966,蓮蓬頭花灑 頂噴蓮蓬頭 沐浴龍頭組 花灑套裝 蓮蓬頭掛座 飯店沐浴龍頭 水頂噴蓮蓬頭 花灑組 蓮蓬頭,https://cs-d.ecimg.tw/items/DEDW0GA900I49Y8/000001_1732764309.jpg,沐浴龍頭,"['2', '5', '8', '12']"
223501967,LOLAT 羅力 簡約沐浴龍頭/二段式掛座/簡易DIY/鉻 SNN1156H,https://cs-d.ecimg.tw/items/DQBE53A900GC13S/000001_1684247413.jpg,沐浴龍頭,"['2', '5', '8', '12']"
223501968,BOLE 家用手沖咖啡電子秤 高精度自動計時小型烘焙秤 LED觸控稱重克秤 廚房食品料理秤【非供交易使用】,https://cs-d.ecimg.tw/items/DMATIGA900HQ4E3/000001_1723453142.jpg,咖啡電子秤,"['2', '5', '8', '12']"
223501969,BASEE 家用廚房高精度食物烘培料理秤 手沖咖啡電子秤 珠寶秤/迷你秤/中藥秤/口袋秤【非供交易使用】,https://cs-d.ecimg.tw/items/DECF3BA900GYXC8/000001_1701672853.jpg,咖啡電子秤,"['2', '5', '8', '12']"
223501970,PRINCESS 荷蘭公主 【南紡購物中心】 烘焙烹飪網購必備送耐熱墊計時微量咖啡電子秤(黑)ES02B,https://cs-d.ecimg.tw/items/DMBM16A900FAKMF/000001_1657764940.jpg,咖啡電子秤,"['2', '5', '8', '12']"
223501971,HARIO POLARIS 北極星咖啡電子秤,https://cs-d.ecimg.tw/items/DEAA2UA900HVAHV/000001_1727169757.jpg,咖啡電子秤,"['2', '5', '8', '12']"
223501972,Matrix G1 FlowBar 便攜式玻璃金屬流速咖啡電子秤,https://cs-d.ecimg.tw/items/DMATIGA900II1ZD/000001_1750924370.jpg,咖啡電子秤,"['2', '5', '8', '12']"
223501973,1Z Life 咖啡電子秤 (3kg/0.1g) (電池款),https://cs-d.ecimg.tw/items/DECF3BA900I7OXM/000001_1735867371.jpg,咖啡電子秤,"['2', '5', '8', '12']"
223501974,【 奧堤森】計時微量咖啡電子秤-黑 ES02B,https://cs-d.ecimg.tw/items/DCBE34A900DZZZ3/000001_1737599446.jpg,咖啡電子秤,"['2', '5', '8', '12']"
223501975,Matrix S3 MetaI 手沖義式口袋金屬咖啡電子秤 /自動計時/流速顯示/義式秤/手沖咖啡秤/金屬機身/迷你小秤,https://cs-d.ecimg.tw/items/DEAA8MA900IKYIE/000001_1744860542.jpg,咖啡電子秤,"['2', '5', '8', '12']"
223501976,zeroHero 靈智LED點陣玻璃金屬流速咖啡電子秤-商務胡桃木款,https://cs-d.ecimg.tw/items/DEAAC4A900HQOGO/000001_1724140827.jpg,咖啡電子秤,"['2', '5', '8', '12']"
223501977,CAFEDE KONA 瞬感秤(咖啡電子秤)-黑色,https://cs-d.ecimg.tw/items/DMATIGA900H8O5G/000001_1708397665.jpg,咖啡電子秤,"['2', '5', '8', '12']"
223501978,適美得 動力式濕熱熱敷墊 熱敷披肩 加熱墊 腰背加熱墊H01 68*36cm,https://cs-d.ecimg.tw/items/DABC3UA900BTR2H/000001_1719555664.jpg,加熱墊,"['2', '5', '8', '12']"
223501979,適美得 動力式字型濕熱熱敷墊(肩頸加熱披肩 肩頸加熱墊  電熱披肩 舒緩肩頸) 肩頸適用 H02 50*58cm,https://cs-d.ecimg.tw/items/DABC3UA900BTQZU/000001_1719556818.jpg,加熱墊,"['2', '5', '8', '12']"
223501980,GEX 日本- 小動物籠用底部加熱墊 L (1GXS10017),https://cs-d.ecimg.tw/items/DXAM5XA900IHTD6/000001_1742892209.jpg,加熱墊,"['2', '5', '8', '12']"
223501981,【新升級杯墊 三檔控溫】暖心杯墊禮組 加熱杯墊 保溫杯墊 杯墊 加熱墊 暖暖杯 暖杯墊 恆溫墊 馬克杯加熱HNKAB3,https://cs-d.ecimg.tw/items/DSBE04A900BYTVH/000001_1636509472.jpg,加熱墊,"['2', '5', '8', '12']"
223501982,【易搜】60*90cm保溫寵物電熱毯寵物加熱墊--數顯9檔開關  （寵物地墊 保溫毯 寵物地毯 可拆洗外套）,https://cs-d.ecimg.tw/items/DEAKB6A900IC6JQ/000001_1738913556.jpg,加熱墊,"['2', '5', '8', '12']"
223501983,Ogula 小倉 保暖/取暖/暖腳墊 暖腳寶 暖手寶 暖腳鞋 加熱墊 暖腳毯 暖腳套 暖腳器,https://cs-d.ecimg.tw/items/DEATLQA900GPU1R/000001_1696647821.jpg,加熱墊,"['2', '5', '8', '12']"
223501984,FUGU BEAUTY USB石墨烯電暖袋-升級版 雙面加熱 (加熱墊推薦/暖宮袋/發熱墊/保暖墊/暖暖包),https://cs-d.ecimg.tw/items/DDBKAZA900FTOUE/000001_1670403600.jpg,加熱墊,"['2', '5', '8', '12']"
223501985,HADER 多功能智能電熱暖身加熱毯 腰部背部驅寒加熱墊 蓋腿披肩保暖發熱毛毯 40*76cm(情人節禮物),https://cs-d.ecimg.tw/items/DMAZ14A900GZFC9/000001_1702019002.jpg,加熱墊,"['2', '5', '8', '12']"
223501986,按摩坐墊車家兩用 加熱墊 震動發熱 電動臀部按摩器 送長輩禮物,https://cs-d.ecimg.tw/items/DMAD1KA900IR6JQ/000001_1746523810.jpg,加熱墊,"['2', '5', '8', '12']"
223501987,【聚爽】家用冬季桌面暖手三檔調溫數顯溫控80X33cm電熱桌墊滑鼠墊/寫字墊/加熱墊/暖桌墊/發熱墊,https://cs-d.ecimg.tw/items/DQBKI3A900HF939/000001_1714012445.jpg,加熱墊,"['2', '5', '8', '12']"
223501988,特斯拉Model Y/3專用 CA-QA7 賽博透明風格 15W Qi 無線磁吸車充支架 車載手機支架 車用導航支架,https://cs-d.ecimg.tw/items/DEADCGA900I2PUP/000001_1731564410.jpg,特斯拉,"['2', '5', '8', '12']"
223501989,特斯拉Model Y/3專用 CA-QA7 賽博透明風格 15W Qi 無線磁吸車充支架 車載手機支架 車用導航支架,https://cs-d.ecimg.tw/items/DEADCGA900I2M6H/000001_1731463397.jpg,特斯拉,"['2', '5', '8', '12']"
223501990,Readmoo 讀墨 二科特斯拉不推理 (全)讀墨電子書,https://cs-d.ecimg.tw/items/DJBN7ND900AW2DP/000001_1600881659.jpg,特斯拉,"['2', '5', '8', '12']"
223501991,77張圖看懂飆股趨勢線買在低點賺3倍！：學美國投資大師如何用「道氏理論」，搭上特斯拉、AI、超導體……未來大漲的股票！,https://cs-d.ecimg.tw/items/DJBP1HA900GRIF6/000001_1698188028.jpg,特斯拉,"['2', '5', '8', '12']"
223501992,從蘋果到特斯拉，我學會駕馭人生（Pubu電子書）,https://cs-d.ecimg.tw/items/DJBS29D900HTNOZ/000001_1750988517.jpg,特斯拉,"['2', '5', '8', '12']"
223501993,TOMICA #PRM41 特斯拉CYBERTRUCK『 玩具超人 』,https://cs-d.ecimg.tw/items/DEASCUB900J0XO8/000001_1752205155.jpg,特斯拉,"['2', '5', '8', '12']"
223501994,【DOKIY】車用香氛冷氣出風口香水(鋁合金-特斯拉款),https://cs-d.ecimg.tw/items/DEADIEA900HEFNC/000001_1714063611.jpg,特斯拉,"['2', '5', '8', '12']"
223501995,HyRead 特斯拉的生與死在台灣:電動車在一個多山的小島(電子書),https://cs-d.ecimg.tw/items/DJBR42D900IK9QK/000001_1744715841.jpg,特斯拉,"['2', '5', '8', '12']"
223501996,JOWUA 特斯拉 TESLA Model X 及LUXGEN n7 專用 特製尺寸 兩用面紙收納盒(面紙盒 衛生紙盒),https://cs-d.ecimg.tw/items/DEADXVA900I80II/000001_1735639789.jpg,特斯拉,"['2', '5', '8', '12']"
223501997,撓場的科學：解開特斯拉未解之謎，揭曉風水原理，領航靈界取能、星際通訊的人類發展新紀元！(Kobo/電子書),https://cs-d.ecimg.tw/items/DJBQD8D900EM6AP/000001_1646022935.jpg,特斯拉,"['2', '5', '8', '12']"
223501998,NIKE 耐吉 Nocta T-Shirt 短袖 亞版 黑 上衣 休閒 聯名款 服飾 FN7664-010,https://cs-d.ecimg.tw/items/DEBNLQA900HWAJY/000001_1727421586.jpg,nocta,"['2', '5', '8', '12']"
223501999,NIKE 耐吉 x Nocta Jacket 風衣外套 黑色/卡其/油果綠 FN7667-010/FN7667-200/FN7667-386,https://cs-d.ecimg.tw/items/DEBNLOA900HA7JD/000001_1709629819.jpg,nocta,"['2', '5', '8', '12']"
223502000,Demonic Prima Nocta(Kobo/電子書),https://cs-d.ecimg.tw/items/DJBQ3CD900I9FM7/000001_1736895064.jpg,nocta,"['2', '5', '8', '12']"
223502001,NIKE 耐吉 Air Zoom Drive Drake Nocta Summit White 全白 DX5854-100,https://cs-d.ecimg.tw/items/DXAX2IA900H9J7Z/000001_1709021586.jpg,nocta,"['2', '5', '8', '12']"
223502002,NIKE 耐吉 x NOCTA Drake Distant Regards Pants Black DR2621-010,https://cs-d.ecimg.tw/items/DEBNLLA900J1R8V/000001_1752912889.jpg,nocta,"['2', '5', '8', '12']"
223502003,NIKE 耐吉 Nike x NOCTA Swarovski Crystals Swoosh Pants 棉褲 黑色 DR2659-010,https://cs-d.ecimg.tw/items/DEBNLLA900IGT82/000001_1742181915.jpg,nocta,"['2', '5', '8', '12']"
223502004,NIKE 耐吉 Nocta x Nike Air Force 1 Low Love You Forever 全白 GS 聯名款 休閒鞋 大童鞋 FV9918-100,https://cs-d.ecimg.tw/items/DXAX69A900I85C2/000001_1735798121.jpg,nocta,"['2', '5', '8', '12']"
223502005,NIKE 耐吉 Nocta x Nike Reversible Vest 兩面穿 背心 DR2664-010,https://cs-d.ecimg.tw/items/DEBNLOA900IGT8T/000001_1742182548.jpg,nocta,"['2', '5', '8', '12']"
